sector,煤炭开采和洗选业,石油和天然气开采业,黑色金属矿采选业,有色金属矿采选业,非金属矿采选业,开采辅助活动,农副食品加工业,食品制造业,饮料制造业,烟草制品业,纺织业,纺织服装、鞋、帽制造业,皮革、毛皮、羽毛(绒)及其制品业,木材加工及木、竹、藤、棕、草制品业,家具制造业,造纸及纸制品业,印刷业和记录媒介的复制,文教体育用品制造业,石油加工、炼焦及核燃料加工业,化学原料及化学制品制造业,医药制造业,化学纤维制造业,橡胶制品业,塑料制品业,非金属矿物制品业,黑色金属冶炼及压延加工业,有色金属冶炼及压延加工业,金属制品业,通用设备制造业,专用设备制造业,交通运输设备制造业,电气机械及器材制造业,通信设备、计算机及其他电子设备制造业,仪器仪表及文化、办公用机械制造业,工艺品及其他制造业,废弃资源和废旧材料回收加工业,电力、热力的生产和供应业,燃气生产和供应业,水的生产和供应业
K73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,机械化农业设备,铁路特殊用途车辆,碱性锌锰原电池,专业用录像重放设备,溶出试验仪,,,,,
K74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,木竹采伐机械,窄轨机车车辆制造,超级电容器,录像及重放像设备,,,,,,
K75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,畜牧机械,冶金专用有轨车辆,氧化银原电池,音频电子放大器,,,,,,
K76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,渔业机械,高铁设备、配件制造,蓄电池制造,专业用天线,,,,,,
K77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,农林牧渔机械配件,铁路机车车辆配件制造,燃料电池,广播电视设备专用配件,,,,,,
K78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,棉花加工机械,铁路专用设备及器材,物理电池,专业音响设备制造,,,,,,
K79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他农林牧渔机械,动车组网络控制系统,电池零部件,音源设备,,,,,,
K80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,医疗仪器设备与器械,高速铁路维修养护,通风电器具制造,调音台,,,,,,
K81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,医疗诊断监护治疗设备,铁路运输设备,厨房电器具制造,机器人,,,,,,
K82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,口腔科设备,城市轨道交通设备,家用洗衣机,个人服务机器人,,,,,,
K83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,医疗实验室设备,地铁车辆,家用电热水器,家庭服务机器人,,,,,,
K84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,医疗外科器械,轻轨车辆,家用吸尘器,商业服务机器人,,,,,,
K85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,机械治疗康复设备,单轨车辆,美容电器具,家务机器人,,,,,,
K86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,康复辅具制造,城市有轨电车,理发电器具,餐饮用机器人,,,,,,
K87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,眼镜制造,磁浮车辆,电动脱毛器,宾馆用机器人,,,,,,
K88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他医疗设备,金属船舶制造,家用电力器具专用配件,销售用机器人,,,,,,
K89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,环保专用设备,钢质船舶,通用零部件,娱乐机器人,,,,,,
K90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地质勘查设备,钢质机动货船,非电力家用器具,助老助残机器人,,,,,,
K91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,邮政专用设备,钢质机动非货船,燃气家用器具,医疗机器人,,,,,,
K92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业饮食服务设备,铝合金船舶,液化气,清洁机器人,,,,,,
K93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会公共安全设备,非金属船舶制造,太阳能器具,安防机器人,,,,,,
K94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,交通安全管制设备,非金属捕鱼船,电光源,公共服务用机器人,,,,,,
K95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水资源专用机械,水泥船,白炽灯,非工厂用物流机器人,,,,,,
K96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他专用设备,游览用船舶,气体放电灯,无人飞行器,,,,,,
K97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,同位素设备制造,娱乐船和运动船制造,半导体照明,智能消费设备,,,,,,
K98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,娱乐用船舶,照明灯具,智能家庭消费设备,,,,,,
K99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,游艇休闲与运动器材,室内外建筑照明,智能健康管理设备,,,,,,
K100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,海洋工程装备制造,智能照明器具,智能居家养老设备,,,,,,
K101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,海洋石油浮动工程结构物,灯用电器附件,智能信息服务设备,,,,,,
K102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,海洋可再生能源开发装备,电气信号设备装置,智能互动教育设备,,,,,,
K103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,海水淡化及综合利用装备,电气音响,智能家居设备,,,,,,
K104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,航标器材及其他相关装置制造,电气报警装置,智能能源管理设备,,,,,,
K105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,航标器材,电气警告装置,智能社区服务设备,,,,,,
K106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,内陆水域用浮舟,未列明电气机械及器材,智能家庭安防设备,,,,,,
K107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,航空、航天器及设备制造,电气机械制造活动,虚拟现实设备,,,,,,
K108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飞机制造,,体育消费用智能设备,,,,,,
K109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,军用飞机,,文化场馆用智能设备,,,,,,
K110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,卫星,,电子器件制造,,,,,,
K111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,航天相关设备制造,,电子真空器件制造,,,,,,
K112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,试验专用设备设施,,半导体分立器件制造,,,,,,
K113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宇航模拟设备,,集成电路制造,,,,,,
K114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,航天风洞,,集成电路成品,,,,,,
K115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,电磁专用设备设施,,多芯片封装组件(MCM),,,,,,
K116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,真空专用设备设施,,刚性印制电路板,,,,,,
K117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,航天器总装调试测试设备,,挠性印制电路板,,,,,,
K118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,运载火箭总装调试测试设备,,刚挠印制电路板,,,,,,
K119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,先进卫星平台,,金属芯印制电路板,,,,,,
K120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,航天器测控地面站,,齐平印制电路板,,,,,,
K121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,导航卫星地面监测站,,碳膜印制电路板,,,,,,
K122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地面标校系统,,其他印制电路板,,,,,,
K123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摩托车制造,,电子专用材料制造,,,,,,
K124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摩托车整车制造,,金属软磁元件,,,,,,
K125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摩托车发动机制造,,铁氧体软磁元件,,,,,,
K126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摩托车零部件及配件制造,,铁氧体永磁元件,,,,,,
K127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,自行车和残疾人座车制造,,稀土永磁元件,,,,,,
K128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,自行车制造,,永磁合金,,,,,,
K129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,城市用自行车,,注塑永磁元件,,,,,,
K130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山地自行车,,半导体照明器件制造,,,,,,
K131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,运动休闲自行车,,光电探测器件,,,,,,
K132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,残疾人座车制造,,发光二极管,,,,,,
K133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,非动力残疾人车,,电子束光电器件,,,,,,
K134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,助动车制造,,红外器件,,,,,,
K135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,两轮助动自行车,,通信有源光器件与子系统,,,,,,
K136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三轮电动助动车,,光无源器件,,,,,,
K137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水下救捞及其他运输设备制造,,其他电子器件制造,,,,,,
K138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,潜水装备制造,,磁卡,,,,,,
K139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,潜水装备,,磁头,,,,,,
K140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水下作业用装备,,光学头,,,,,,
